ROI.name	ROI.id	point	x	y
Epidermis	10	3	251.6323938	-390.085152
Epidermis	10	4	249.5720849	-394.3431237
Epidermis	10	5	244.9020514	-399.2878651
Epidermis	10	6	237.5586297	-408.3398739
Epidermis	10	7	231.0344024	-408.3398739
Epidermis	10	8	224.510175	-406.0372055
Epidermis	10	9	220.6723943	-401.8156466
Epidermis	10	10	216.0670574	-395.6751974
Epidermis	10	11	212.9968327	-390.3023043
Epidermis	10	12	212.6130547	-385.6969674
Epidermis	11	1	288.9457136	-101.6018376
Epidermis	11	2	305.7967501	-117.1312241
Epidermis	11	3	313.3962371	-111.6794182
Epidermis	11	4	328.2647987	-105.2363748
Epidermis	11	5	339.6640293	-99.78456892
Epidermis	11	6	344.1245978	-91.68946316
Epidermis	11	7	339.9944418	-76.65569533
Epidermis	11	8	334.0470171	-69.22141453
Epidermis	11	9	324.6302615	-64.26522733
Epidermis	11	10	315.0482995	-63.60440237
Epidermis	11	11	306.4575751	-66.41290845
Epidermis	11	12	300.3449442	-83.75956364
Epidermis	11	13	291.919426	-98.462919
Epidermis	12	1	178.383939	-339.7470214
Epidermis	12	2	205.7245277	-331.3036043
Epidermis	12	3	216.1782822	-339.2109314
Epidermis	12	4	226.4980143	-344.4378087
Epidermis	12	5	231.7248915	-348.4584835
Epidermis	12	6	211.8895625	-384.7785792
Epidermis	12	7	209.879225	-392.6859064
Epidermis	12	8	202.1059204	-393.7580863
Epidermis	12	9	190.311941	-391.3456814
Epidermis	12	10	180.7963439	-385.3146692
Epidermis	12	11	176.6416466	-379.283657
Epidermis	13	1	345.5077401	-286.1279126
Epidermis	13	2	351.3076302	-265.6902046
Epidermis	13	3	368.1549301	-263.34263
Epidermis	13	4	383.7593964	-263.8950005
Epidermis	13	5	386.5212488	-264.0330931
Epidermis	13	6	390.2497496	-269.2806128
Epidermis	13	7	391.7687684	-273.5614841
Epidermis	13	8	392.4592315	-281.8470414
Epidermis	13	9	387.0736193	-292.8944511
Epidermis	13	10	383.4832111	-297.7276929
Epidermis	13	11	371.3310604	-299.3848044
Epidermis	13	12	365.3930776	-294.1372847
Epidermis	13	13	360.0074654	-290.5468766
Epidermis	14	1	352.2054278	-185.0668865
Epidermis	14	2	342.8511698	-177.872418
Epidermis	14	3	337.0210645	-163.9515543
Epidermis	14	4	349.2761837	-154.8494512
Epidermis	14	5	365.1324205	-138.0744183
Epidermis	14	6	367.4005676	-134.9539767
Epidermis	14	7	370.8907566	-134.7212974
Epidermis	14	8	376.0097006	-136.5827316
Epidermis	14	9	381.3613238	-144.2611475
Epidermis	14	10	387.4109848	-153.1029598
Epidermis	14	11	391.8318909	-162.8754891
Epidermis	14	12	390.6684946	-170.0885465
Epidermis	14	13	389.176856	-181.2208404
Epidermis	14	14	377.8711347	-178.4650002
Epidermis	14	15	369.2620017	-178.9303587
Epidermis	15	1	66.4429604	-182.1029285
Epidermis	15	2	63.76812303	-178.1441692
Epidermis	15	3	60.23733769	-171.9385465
Epidermis	15	4	61.62825313	-161.5601775
Epidermis	15	5	69.22479127	-152.3587369
Epidermis	15	6	73.39753758	-149.576906
Epidermis	15	7	80.35211476	-148.3999776
Epidermis	15	8	88.48362038	-149.8978865
Epidermis	15	9	97.89904794	-153.4286719
Epidermis	15	10	107.7424495	-157.6014182
Epidermis	15	11	109.6683324	-159.8482816
Epidermis	15	12	109.7753259	-168.5147546
Epidermis	15	13	109.2403584	-171.0825985
Epidermis	15	14	106.0305536	-177.6092017
Epidermis	15	15	104.4256511	-180.1770456
Epidermis	15	16	85.59479601	-179.8560651
Epidermis	16	1	108.6011737	-110.3683526
Epidermis	16	2	109.0831316	-97.51614267
Epidermis	16	3	113.9027103	-86.75241687
Epidermis	16	4	122.7386046	-81.29022766
Epidermis	16	5	132.2171094	-80.80826979
Epidermis	16	6	138.1612565	-84.66393276
Epidermis	16	7	146.3545403	-91.73264821
Epidermis	16	8	156.4756556	-102.0144161
Epidermis	16	9	162.4198027	-107.637258
Epidermis	16	10	164.0263289	-110.6896578
Epidermis	16	11	165.4722026	-115.9911944
Epidermis	16	12	160.4919712	-125.9516571
Epidermis	16	13	156.6363082	-133.1810252
Epidermis	16	14	155.5117399	-136.233425
Epidermis	16	15	141.6956142	-137.3579934
Epidermis	16	16	135.7514671	-138.9645196
Epidermis	16	17	130.4499306	-140.7316985
Epidermis	16	18	126.433615	-141.374309
Epidermis	16	19	126.1123097	-138.1612565
Epidermis	16	20	119.2042469	-122.4172994
Epidermis	16	21	114.3846682	-114.3846682
Epidermis	17	1	268.2949336	-95.32400044
Epidermis	17	2	263.1735402	-61.29151501
Epidermis	17	3	273.4163271	-49.56187198
Epidermis	17	4	283.659114	-48.73584078
Epidermis	17	5	288.6153012	-49.72707822
Epidermis	17	6	295.8843757	-57.16135902
Epidermis	17	7	302.1622128	-61.78713373
Epidermis	17	8	304.6403064	-66.24770221
Epidermis	17	9	301.1709754	-74.67322045
Epidermis	17	10	298.6928818	-82.93353244
Epidermis	17	11	290.7629823	-97.30647532
Epidermis	17	12	287.128445	-100.4453939
Epidermis	17	13	279.1985455	-97.47168156
Epidermis	18	1	299.9994845	-305.2082977
Epidermis	18	2	307.3199787	-302.2519442
Epidermis	18	3	328.4367889	-299.0140333
Epidermis	18	4	329.2814613	-305.6306339
Epidermis	18	5	335.0533895	-317.0337114
Epidermis	18	6	344.6263435	-330.2669125
Epidermis	18	7	347.019582	-335.0533895
Epidermis	18	8	343.6408923	-344.2040073
Epidermis	18	9	334.3494958	-356.029421
Epidermis	18	10	330.9708062	-357.7187658
Epidermis	18	11	328.2960102	-358.9857745
Epidermis	18	12	312.5287919	-349.8351567
Epidermis	18	13	289.5818581	-335.1941682
Epidermis	18	14	287.6109558	-331.6746998
Epidermis	18	15	295.7761224	-320.2716223
Epidermis	18	16	298.5916971	-312.2472344
Epidermis	19	1	98.50653283	-333.9840542
Epidermis	19	2	100.6508927	-329.2932669
Epidermis	19	3	105.073635	-325.2725921
Epidermis	19	4	113.2490071	-322.4581197
Epidermis	19	5	131.6100888	-316.829175
Epidermis	19	6	144.8783156	-313.6126351
Epidermis	19	7	149.3010579	-318.5714674
Epidermis	19	8	156.4042501	-327.8190195
Epidermis	19	9	155.8681601	-331.1695818
Epidermis	19	10	153.5897777	-335.4583016
Epidermis	19	11	144.7442931	-351.9430683
Epidermis	19	12	138.5792584	-362.3968228
Epidermis	19	13	135.0946736	-365.8814076
Epidermis	19	14	128.9296389	-366.6855426
Epidermis	19	15	120.2181768	-366.4174976
Epidermis	19	16	109.4963773	-363.6030253
Epidermis	19	17	102.7952526	-357.0359231
Epidermis	19	18	99.0426228	-351.9430683
Epidermis	19	19	97.16630789	-342.6955162
Epidermis	20	1	211.1555642	-95.54640301
Epidermis	20	2	217.8329326	-67.86475914
Epidermis	20	3	218.2027678	-55.10544476
Epidermis	20	4	228.5581534	-49.00316396
Epidermis	20	5	246.6800782	-49.00316396
Epidermis	20	6	261.8433214	-61.76247835
Epidermis	20	7	266.6164369	-95.86616216
Epidermis	20	8	238.1738686	-112.2449831
