"ROI.name"	"Organ"	"Number"	"ROI.id"	"point"	"x"	"y"
"Leaf.05"	"Leaf"	5	1	1	334.240710193849	-318.455703716361
"Leaf.05"	"Leaf"	5	1	2	344.283880045222	-317.967673241046
"Leaf.05"	"Leaf"	5	1	3	362.779559558074	-321.485169503673
"Leaf.05"	"Leaf"	5	1	4	367.345246444722	-321.276648424969
"Leaf.05"	"Leaf"	5	1	5	373.582406494705	-322.521071921649
"Leaf.05"	"Leaf"	5	1	6	378.616841003206	-323.997367351943
"Leaf.05"	"Leaf"	5	1	7	383.417735659884	-324.511148765412
"Leaf.05"	"Leaf"	5	1	8	390.378866120247	-325.280152967406
"Leaf.05"	"Leaf"	5	1	9	401.890672203385	-328.002539812588
"Leaf.05"	"Leaf"	5	1	10	412.214764008914	-328.794894869494
"Leaf.05"	"Leaf"	5	1	11	417.494413796694	-329.552223644032
"Leaf.05"	"Leaf"	5	1	12	425.893477568569	-330.811658404583
"Leaf.05"	"Leaf"	5	1	13	445.105395786322	-331.665726435182
"Leaf.05"	"Leaf"	5	1	14	454.480316920687	-330.769929146673
"Leaf.05"	"Leaf"	5	1	15	464.84110292679	-326.277630661174
"Leaf.05"	"Leaf"	5	1	16	474.96834908107	-320.822818158849
"Leaf.05"	"Leaf"	5	1	17	482.698483743427	-314.630691900481
"Leaf.05"	"Leaf"	5	1	18	486.558547319982	-312.255263345261
"Leaf.05"	"Leaf"	5	1	19	492.348642684814	-308.692120512431
"Leaf.05"	"Leaf"	5	1	20	496.445581949607	-306.798782924728
"Leaf.05"	"Leaf"	5	1	21	505.836988241313	-305.010821320646
"Leaf.05"	"Leaf"	5	1	22	510.273742564757	-304.30298819015
"Leaf.05"	"Leaf"	5	1	23	515.07723477375	-303.967021473325
"Leaf.05"	"Leaf"	5	1	24	521.706723618312	-306.598293273684
"Leaf.05"	"Leaf"	5	1	25	527.248820126526	-306.26745508498
"Leaf.05"	"Leaf"	5	1	26	535.745333831623	-305.957131008759
"Leaf.05"	"Leaf"	5	1	27	542.397901052728	-305.264683462625
"Leaf.05"	"Leaf"	5	1	28	552.730668449634	-306.444389305147
"Leaf.05"	"Leaf"	5	1	29	558.626681523096	-308.331928278164
"Leaf.05"	"Leaf"	5	1	30	566.733378966099	-310.973457134765
"Leaf.05"	"Leaf"	5	1	31	571.14961917706	-313.220041201151
"Leaf.05"	"Leaf"	5	1	32	583.313511737655	-316.628381261636
"Leaf.05"	"Leaf"	5	1	33	589.206960547057	-318.885222384264
"Leaf.05"	"Leaf"	5	1	34	594.731107206848	-321.139499242832
"Leaf.05"	"Leaf"	5	1	35	603.204542535401	-324.152894513103
"Leaf.05"	"Leaf"	5	1	36	611.081327303151	-325.584086920645
"Leaf.05"	"Leaf"	5	1	37	622.224252437354	-331.610805010987
"Leaf.05"	"Leaf"	5	1	38	625.53755068334	-334.251523598037
"Leaf.05"	"Leaf"	5	1	39	628.619495737371	-335.938740295124
"Leaf.05"	"Leaf"	5	1	40	632.16249487401	-339.770923169303
"Leaf.05"	"Leaf"	5	1	41	637.609193187971	-343.6163244539
"Leaf.05"	"Leaf"	5	1	42	640.205299639857	-346.728010931373
"Leaf.05"	"Leaf"	5	1	43	642.325481297412	-349.836392806242
"Leaf.05"	"Leaf"	5	1	44	645.858566626237	-355.096350063412
"Leaf.05"	"Leaf"	5	1	45	648.210101475748	-359.158233828243
"Leaf.05"	"Leaf"	5	1	46	651.273871215452	-363.463036894147
"Leaf.05"	"Leaf"	5	1	47	653.846845449105	-369.906196931933
"Leaf.05"	"Leaf"	5	1	48	655.957113298846	-374.442353189793
"Leaf.05"	"Leaf"	5	1	49	661.117932477872	-385.187011690878
"Leaf.05"	"Leaf"	5	1	50	662.459787193139	-397.57097015128
"Leaf.05"	"Leaf"	5	1	51	661.919422648015	-406.848199038117
"Leaf.05"	"Leaf"	5	1	52	659.472054322966	-416.588134308865
"Leaf.05"	"Leaf"	5	1	53	654.882749446084	-425.163263609605
"Leaf.05"	"Leaf"	5	1	54	651.112361410432	-428.881653023288
"Leaf.05"	"Leaf"	5	1	55	644.330862808456	-434.825876222985
"Leaf.05"	"Leaf"	5	1	56	636.816086048137	-438.518266325684
"Leaf.05"	"Leaf"	5	1	57	619.571098465879	-441.394180474892
"Leaf.05"	"Leaf"	5	1	58	606.080899332682	-442.798338445216
"Leaf.05"	"Leaf"	5	1	59	590.723705699348	-443.440619015115
