"ROI.name"	"ROI.id"	"point"	"x"	"y"
"Atrichoblast"	1	1	968.284619423903	-322.761539807967
"Atrichoblast"	1	2	986.956774619405	-305.423109983573
"Atrichoblast"	1	3	999.404878083073	-299.643633375441
"Atrichoblast"	1	4	1019.41075864968	-320.094089065753
"Atrichoblast"	1	5	1026.52396062892	-331.653042282016
"Atrichoblast"	1	6	1023.85650988671	-352.992648219733
"Atrichoblast"	1	7	1011.85298154674	-365.885326807104
"Atrichoblast"	1	8	994.346509846738	-368.567462770399
"Atrichoblast"	1	9	979.654213098555	-366.582426506571
"Atrichoblast"	1	10	972.023990646383	-364.923682495229
"Atrichoblast"	2	1	1028.08953822974	-333.075797477464
"Atrichoblast"	2	2	1051.6437031908	-332.744048675195
"Atrichoblast"	2	3	1069.22638971102	-333.407546279732
"Atrichoblast"	2	4	1084.48683461537	-350.32673519542
"Atrichoblast"	2	5	1084.81858341764	-369.568165726986
"Atrichoblast"	2	6	1074.53437054732	-377.530136981428
"Atrichoblast"	2	7	1053.96594480667	-393.454079490311
"Atrichoblast"	2	8	1044.34522954089	-399.425557931141
"Atrichoblast"	2	9	1011.50209811632	-367.245924111108
"Atrichoblast"	2	10	1025.76729661386	-354.30772082264
"Atrichoblast"	3	1	879.319139571073	-360.689185347706
"Atrichoblast"	3	2	835.996828359097	-365.392750565007
"Atrichoblast"	3	3	797.873194492558	-331.7251258517
"Atrichoblast"	3	4	810.111039312256	-301.879240351734
"Atrichoblast"	3	5	823.917630032916	-295.535671642242
"Atrichoblast"	3	6	847.052998267536	-295.535671642242
"Atrichoblast"	3	7	876.15878411109	-304.118146955085
"Atrichoblast"	3	8	883.994957222816	-307.47650686011
"Atrichoblast"	4	1	1097.06423564165	-467.931480100216
"Atrichoblast"	4	2	1136.9914034014	-438.825694256662
"Atrichoblast"	4	3	1154.52950512765	-440.691449759454
"Atrichoblast"	4	4	1176.17226896003	-456.736947083464
"Atrichoblast"	4	5	1179.1574777645	-473.90189770915
"Atrichoblast"	4	6	1178.03802446282	-500.395625848796
"Atrichoblast"	4	7	1168.70924694886	-516.814274273365
"Atrichoblast"	4	8	1160.49992273658	-519.426331977273
"Atrichoblast"	4	9	1117.58754617237	-507.485496759405
"Atrichoblast"	4	10	1103.78095545171	-492.932603837628
"Atrichoblast"	5	1	1118.99466043586	-656.301853628069
"Atrichoblast"	5	2	1121.80738266569	-643.644603593813
"Atrichoblast"	5	3	1124.15131785722	-629.58099244464
"Atrichoblast"	5	4	1124.62010489553	-613.642233142244
"Atrichoblast"	5	5	1160.24791980676	-609.891936835798
"Atrichoblast"	5	6	1172.43638280271	-608.016788682575
"Atrichoblast"	5	7	1190.25029025833	-616.454955372079
"Atrichoblast"	5	8	1197.75088287123	-635.675223942615
"Atrichoblast"	5	9	1197.75088287123	-658.177001781292
"Atrichoblast"	5	10	1190.25029025833	-676.459696275217
"Atrichoblast"	5	11	1176.65546614747	-682.553927773192
"Atrichoblast"	5	12	1167.74851241966	-684.89786296472
"Atrichoblast"	6	1	1083.55737057526	-691.382579936601
"Atrichoblast"	6	2	1099.7393400919	-675.517903939892
"Atrichoblast"	6	3	1117.50777720822	-657.432173303643
"Atrichoblast"	6	4	1167.00556631795	-687.257764177457
"Atrichoblast"	6	5	1166.37097927808	-704.708907773837
"Atrichoblast"	6	6	1159.39052183953	-727.554041209099
"Atrichoblast"	6	7	1146.38148752223	-741.832249606138
"Atrichoblast"	6	8	1117.82507072815	-741.832249606138
"Atrichoblast"	7	1	980.824500062129	-830.541821816211
"Atrichoblast"	7	2	977.757506628539	-799.258488793592
"Atrichoblast"	7	3	977.757506628539	-777.176136071743
"Atrichoblast"	7	4	1011.49443439803	-761.227770217074
"Atrichoblast"	7	5	1047.68495691439	-780.243129505333
"Atrichoblast"	7	6	1057.49933590188	-801.098684853746
"Atrichoblast"	7	7	1052.59214640814	-817.660449395133
"Atrichoblast"	7	8	1039.71077398706	-828.088227069339
"Atrichoblast"	7	9	1019.46861732536	-836.062409996674
"Atrichoblast"	7	10	1005.97384621757	-837.28920737011
"Atrichoblast"	8	1	928.874852087726	-830.102422734877
"Atrichoblast"	8	2	926.804771233026	-794.023870695812
"Atrichoblast"	8	3	934.19791714267	-778.05467553098
"Atrichoblast"	8	4	970.572195018121	-777.167498021823
"Atrichoblast"	8	5	975.895260073065	-777.463223858208
"Atrichoblast"	8	6	975.895260073065	-795.798225714127
"Atrichoblast"	8	7	978.261066764151	-830.398148571263
"Atrichoblast"	8	8	964.066226617634	-835.721213626207
"Atrichoblast"	8	9	955.194451526061	-838.678471990064
"Atrichoblast"	8	10	944.548321416172	-839.565649499222
"Atrichoblast"	8	11	934.789368815442	-837.791294480907
"Atrichoblast"	9	1	853.169037972967	-789.587983150025
"Atrichoblast"	9	2	872.095491501657	-829.510971062105
"Atrichoblast"	9	3	863.815168082855	-846.66306957248
"Atrichoblast"	9	4	843.410085372237	-859.379280537069
"Atrichoblast"	9	5	822.709276825232	-861.745087228155
"Atrichoblast"	9	6	805.261452478471	-852.577586300196
"Atrichoblast"	9	7	798.755484077984	-840.452827008379
"Atrichoblast"	9	8	792.840967350269	-821.230647643303
"Atrichoblast"	9	9	791.658064004726	-807.922985005943
"Atrichoblast"	9	10	799.642661587142	-788.109353968096
"Atrichoblast"	9	11	808.810162515101	-778.941853040137
"Atrichoblast"	9	12	819.752018461375	-778.941853040137
"Atrichoblast"	10	1	790.093954882476	-807.87184797146
"Atrichoblast"	10	2	776.430487108514	-818.761606850731
