"ROI.name"	"Zone"	"Layer"	"ROI.id"	"point"	"x"	"y"
"CZ.L2"	"CZ"	"L2"	11	2	960.874805407881	-349.848712707232
"CZ.L2"	"CZ"	"L2"	11	3	1009.03946113198	-338.966321874173
"CZ.L2"	"CZ"	"L2"	11	4	1014.16787437494	-299.176268698386
"CZ.L2"	"CZ"	"L2"	11	5	1018.30964591569	-259.363648187907
"CZ.L2"	"CZ"	"L2"	11	6	994.350648266421	-244.362053148789
"CZ.L2"	"CZ"	"L2"	11	7	978.407546194476	-256.340761845391
"CZ.L2"	"CZ"	"L2"	12	1	1010.19202779973	-338.867821090094
"CZ.L2"	"CZ"	"L2"	12	2	1020.0437457179	-259.584948320053
"CZ.L2"	"CZ"	"L2"	12	3	1047.56600529882	-265.214501416151
"CZ.L2"	"CZ"	"L2"	12	4	1053.35193486981	-317.756996979728
"CZ.L2"	"CZ"	"L2"	12	5	1046.78412292436	-353.879962679687
"CZ.L2"	"CZ"	"L2"	12	6	1026.76793413824	-356.381986277953
"CZ.L2"	"CZ"	"L2"	13	1	1049.18208790371	-265.144229618548
"CZ.L2"	"CZ"	"L2"	13	2	1074.29972518273	-254.607074467349
"CZ.L2"	"CZ"	"L2"	13	3	1110.68966797234	-268.084831056092
"CZ.L2"	"CZ"	"L2"	13	4	1129.36814028861	-293.879527638709
"CZ.L2"	"CZ"	"L2"	13	5	1085.83043249028	-342.206383294852
"CZ.L2"	"CZ"	"L2"	13	6	1048.21799505863	-353.427625339772
"CZ.L2"	"CZ"	"L2"	13	7	1054.70368621142	-317.468378502622
"CZ.L3"	"CZ"	"L3"	14	1	1048.2205114047	-354.432070286583
"CZ.L3"	"CZ"	"L3"	14	2	1085.39471975416	-344.26275858204
"CZ.L3"	"CZ"	"L3"	14	3	1089.10811580179	-368.864007397566
"CZ.L3"	"CZ"	"L3"	14	4	1063.57851797436	-382.170343234894
"CZ.L3"	"CZ"	"L3"	15	1	762.511785522694	-464.248921459816
"CZ.L3"	"CZ"	"L3"	15	2	745.017111092682	-442.913952642729
"CZ.L3"	"CZ"	"L3"	15	3	738.616620447556	-386.162935589277
"CZ.L3"	"CZ"	"L3"	15	4	768.91227616782	-372.081856169999
"CZ.L3"	"CZ"	"L3"	15	5	811.155514425652	-405.791106900997
"CZ.L3"	"CZ"	"L3"	15	6	785.553551845148	-421.578983825642
"CZ.L3"	"CZ"	"L3"	16	1	770.008496169448	-370.887980755116
"CZ.L3"	"CZ"	"L3"	16	2	813.074656743698	-326.465394028592
"CZ.L3"	"CZ"	"L3"	16	3	838.49808990313	-320.287737373029
"CZ.L3"	"CZ"	"L3"	16	4	868.911168822824	-338.583105160658
"CZ.L3"	"CZ"	"L3"	16	5	869.148771001884	-375.411442914975
"CZ.L3"	"CZ"	"L3"	16	6	852.279016288617	-381.113895212417
"CZ.L3"	"CZ"	"L3"	16	7	828.043594024485	-403.448500044068
"CZ.L3"	"CZ"	"L3"	16	8	812.95134527531	-404.486137197829
"CZ.L3"	"CZ"	"L3"	17	1	870.659717485825	-374.807514519991
"CZ.L3"	"CZ"	"L3"	17	2	870.839309011709	-336.913702558459
"CZ.L3"	"CZ"	"L3"	17	3	902.4474175673	-312.668846564113
"CZ.L3"	"CZ"	"L3"	17	4	936.210624433499	-325.240253375996
"CZ.L3"	"CZ"	"L3"	17	5	959.916705850192	-350.74225005153
"CZ.L3"	"CZ"	"L3"	17	6	949.294186413198	-395.143023057014
"CZ.L3"	"CZ"	"L3"	17	7	907.90855941036	-382.322788528812
"CZ.L3"	"CZ"	"L3"	18	1	946.456900047043	-412.426956860416
"CZ.L3"	"CZ"	"L3"	18	2	962.198386950112	-350.641620765869
"CZ.L3"	"CZ"	"L3"	18	3	1008.63577331417	-340.409654278874
"CZ.L3"	"CZ"	"L3"	18	4	1025.28939718222	-357.477576057748
"CZ.L3"	"CZ"	"L3"	18	5	1026.22601965224	-387.137287608391
"CZ.L3"	"CZ"	"L3"	18	6	999.37617551166	-413.987131748973
"CZ.L3"	"CZ"	"L3"	19	1	1001.27441907103	-414.469760393873
"CZ.L3"	"CZ"	"L3"	19	2	1027.77415719901	-387.450419557498
"CZ.L3"	"CZ"	"L3"	19	3	1027.25455449062	-357.313462470773
"CZ.L3"	"CZ"	"L3"	19	4	1046.65305560392	-355.5814534428
"CZ.L3"	"CZ"	"L3"	19	5	1062.58753866127	-382.773995181972
"CZ.L3"	"CZ"	"L3"	19	6	1054.96669893819	-411.698545949116
"CZ.L3"	"CZ"	"L3"	19	7	1034.52899240811	-433.002256993181
"OC.L3"	"OC"	"L3"	20	1	763.700947768351	-465.676689988154
"OC.L3"	"OC"	"L3"	20	2	787.304645460787	-422.660605408481
"OC.L3"	"OC"	"L3"	20	3	812.266891077471	-406.707791227778
"OC.L3"	"OC"	"L3"	20	4	859.218715065779	-451.337995128263
"OC.L3"	"OC"	"L3"	20	5	765.906900823719	-468.765024265669
"OC.L3"	"OC"	"L3"	21	1	813.846499351233	-406.003518579577
"OC.L3"	"OC"	"L3"	21	2	828.555598045453	-404.985226099181
"OC.L3"	"OC"	"L3"	21	3	853.213556866543	-382.227684242234
"OC.L3"	"OC"	"L3"	21	4	869.50379659072	-376.504675746984
"OC.L3"	"OC"	"L3"	21	5	887.191737937743	-431.306273654431
"OC.L3"	"OC"	"L3"	21	6	860.076599069374	-450.423421921339
