ROI.name	ROI.id	point	x	y
C1	9	10	759.6553082	-155.8306054
C1	9	11	756.481261	-167.3176335
C1	9	12	753.7606491	-172.4565672
C1	9	13	734.7163656	-172.0031319
C1	9	14	719.1484195	-172.6077123
C1	9	15	709.0216974	-170.1893906
C1	9	16	707.5102463	-158.4000722
C1	9	17	706.1499403	-149.4825109
C1	10	1	754.5763066	-173.0272725
C1	10	2	757.540852	-167.6828751
C1	10	3	760.615659	-156.1510819
C1	10	4	772.6789881	-142.6808197
C1	10	5	783.5269053	-142.5429727
C1	10	6	794.3556108	-147.0394075
C1	10	7	800.3886605	-149.877365
C1	10	8	806.5375377	-157.5490707
C1	10	9	809.4735683	-165.700807
C1	10	10	808.8223803	-172.1651092
C1	10	11	803.1835241	-175.6857954
C1	10	12	797.3917817	-182.9181467
C1	10	13	792.9715317	-190.1982426
C1	10	14	789.8745126	-195.5120214
C1	10	15	782.3084654	-202.7062802
C1	10	16	778.9803082	-201.7381169
C1	10	17	770.242366	-197.0303652
C1	10	18	766.145643	-187.5360933
C1	10	19	755.9879469	-180.7665352
C1	11	1	782.9302277	-203.0441144
C1	11	2	791.0122298	-195.8504141
C1	11	3	798.2364737	-183.2552733
C1	11	4	803.8632992	-176.6059562
C1	11	5	809.8662265	-173.8320407
C1	11	6	819.9369848	-170.4857733
C1	11	7	825.3032425	-173.217929
C1	11	8	831.1403317	-178.0422903
C1	11	9	839.4094819	-179.022096
C1	11	10	843.1851302	-189.1125036
C1	11	11	851.6367106	-204.7282125
C1	11	12	855.5019557	-211.5350323
C1	11	13	846.7731278	-215.9511701
C1	11	14	842.6295564	-222.108504
C1	11	15	842.7011607	-232.1193898
C1	11	16	843.5436911	-242.7007791
C1	11	17	840.8725252	-254.12362
C1	11	18	825.1650619	-251.7234023
C1	11	19	806.0340385	-250.414895
C1	11	20	790.4071757	-251.3783263
C1	11	21	788.2226763	-237.4635133
C1	11	22	786.2985106	-223.8790201
C1	11	23	784.7052042	-213.5680396
C1	11	24	783.3626959	-206.7007694
C1	12	1	842.2978389	-254.7302198
C1	12	2	845.1096157	-243.2666473
C1	12	3	844.4399006	-223.2443839
C1	12	4	848.2920937	-217.548947
C1	12	5	857.1500049	-212.6832448
C1	12	6	877.0600729	-217.2394747
C1	12	7	889.0217534	-226.6853176
C1	12	8	904.3392596	-235.7558728
C1	12	9	903.6232678	-253.1382081
C1	12	10	900.8701622	-264.2776259
C1	12	11	896.9783611	-269.9076059
C1	12	12	890.9891753	-266.7794199
C1	12	13	885.83975	-272.4395353
C1	12	14	869.1914575	-287.3026791
C1	12	15	868.6883734	-278.9066747
C1	13	1	871.2423891	-321.0139189
C1	13	2	869.3650451	-288.4237475
C1	13	3	891.1888711	-267.8407753
C1	13	4	897.468873	-270.919549
C1	13	5	909.7513777	-271.2211836
C1	13	6	915.2781677	-269.4767892
C1	13	7	920.1262503	-276.1015425
C1	13	8	930.2924343	-284.5039059
C1	13	9	936.4481081	-290.6577008
C1	13	10	931.7607694	-309.0877488
C1	13	11	925.6254612	-322.1304457
C1	13	12	918.4087975	-332.8543851
C1	13	13	902.4027907	-331.479423
C1	13	14	885.3329758	-328.517992
C1	14	1	941.3861964	-371.034395
C1	14	2	919.6585601	-333.498585
C1	14	3	927.0096077	-321.922644
C1	14	4	932.871532	-309.010982
C1	14	5	942.3042359	-305.6135821
C1	14	6	955.0425181	-311.3939482
C1	14	7	945.8269952	-334.5857851
C1	14	8	957.2398198	-342.2835922
C1	14	9	968.5095056	-347.5848728
C1	14	10	967.441184	-363.8101786
C1	14	11	961.1298656	-372.275547
C1	15	1	941.5260455	-372.185045
C1	15	2	943.3615899	-377.792723
C1	15	3	938.9648567	-387.2723418
C1	15	4	931.116607	-404.3166099
C1	15	5	936.5288424	-418.0977332
C1	15	6	957.5760416	-428.9284267
C1	15	7	968.6500129	-434.1489496
C1	15	8	976.9631811	-427.1057693
C1	15	9	991.7274226	-421.8060497
C1	15	10	997.0601613	-399.5963258
C1	15	11	987.0815241	-383.352566
